# Id ,ECD(um) ,C  ,O  ,Na ,Mg ,Al ,Si ,P  ,S  ,Cl ,K  ,Ca ,Mn ,Fe ,Sc ,Ti ,Co 
2024,2.086511681,84.22384384,15.64334772,0,0,0,0,0,0,0,0,0,0,0,0.132808445,0,0
2031,1.757261978,84.10962009,15.79968541,0,0,0,0,0,0,0,0,0,0,0,0.090694502,0,0
2036,1.124971704,81.11582319,17.46921686,0.3355531,0.17209419,0.185431563,0.32741525,0,0.098131277,0,0.075490577,0,0.148740961,0,0.072103029,0,0
2041,1.492443617,85.21012697,14.66611917,0,0,0,0,0,0,0,0,0,0,0,0.123753867,0,0
2056,1.56690427,85.35970198,14.54461541,0,0,0,0,0,0,0,0,0,0,0,0.095682602,0,0
2069,1.018705205,86.83610663,12.81830269,0,0,0,0.068713319,0.168308246,0,0,0,0,0,0,0.108569113,0,0
2074,3.031167316,75.84151011,22.16683807,0,0.073734389,0.299651308,1.468231029,0,0,0,0.031540329,0.025039497,0.093455276,0,0,0,0
2077,1.147250534,77.37857427,21.62887835,0,0,0,0,0,0,0,0,0.8794387,0,0,0.113108673,0,0
2091,12.0145714,61.61922148,29.44208588,0,0.181151278,3.369368151,4.148114506,0,0,0.034631193,0.397116204,0.071253416,0.699106431,0.037951462,0,0,0
2110,5.326714291,81.70530184,17.53185109,0,0,0.275201878,0.299127303,0,0,0,0,0.064698836,0.034298327,0,0.089520729,0,0
2160,1.006205281,84.90065116,14.95658243,0,0,0,0,0,0,0,0,0,0,0,0.142766407,0,0
2173,2.510477136,86.30547585,13.3362865,0,0,0.096226699,0.132092789,0,0,0,0,0,0.047962228,0,0.08195594,0,0
2229,1.179880277,83.39369433,16.42772038,0,0,0,0,0,0,0,0,0,0.102334694,0,0.076250595,0,0
2235,1.055317002,84.89962585,14.9655096,0,0,0,0,0,0,0,0,0,0,0,0.134864547,0,0
2279,1.018705205,84.61281358,15.22794474,0,0,0,0,0,0,0,0,0,0,0,0.159241682,0,0
2296,1.750045266,74.00780186,23.69096118,0,0,0.198435827,1.934371168,0,0,0,0.023640239,0,0.06721367,0,0.077576059,0,0
2329,1.018705205,84.58475314,15.3114502,0,0,0,0,0,0,0,0,0,0,0,0.103796657,0,0
2330,1.031053598,84.96954327,14.93274312,0,0,0,0,0,0,0,0,0,0,0,0.09771361,0,0
2363,1.124971704,84.97668325,14.88544637,0,0,0,0,0,0,0,0,0,0,0,0.137870381,0,0
2403,1.414067505,75.53588619,22.9359976,0,0,0.186222001,0.302537669,0,0,0,0,0,0.908467408,0,0.130889135,0,0
2408,1.067241867,84.72379993,15.15234638,0,0,0,0,0,0,0,0,0,0,0,0.123853691,0,0
2411,1.04325584,85.16121868,14.73806488,0,0,0,0,0,0,0,0,0,0,0,0.100716444,0,0
2416,6.520955518,78.78140311,20.03286942,0,0.150870155,0.1436534,0.270237675,0.166218818,0,0.06458861,0.120600142,0.104947282,0.091610421,0,0.073000974,0,0
2417,1.321542524,85.38951209,14.51643465,0,0,0,0,0,0,0,0,0,0,0,0.094053259,0,0
2445,1.018705205,85.79602694,14.06042958,0,0,0,0,0,0,0,0,0,0,0,0.143543481,0,0
2447,3.824903794,81.1106278,18.78410399,0,0,0,0,0,0,0,0,0,0,0,0.105268216,0,0
